x,Curve1
-0.00468,9641
-0.0046,7197
-0.00437,2886
-0.00341,66.9
-0.00249,1794.6
-0.00198,240.41
-0.00179,111.59
0.00296,896.2
0.00321,334
0.00571,17.946
0.01964,29.94
0.02164,11.574
0.02484,40.1
0.05326,12.005
0.07589,28.86
0.10963,7.197
0.15364,5.372
0.25215,3.866
0.28561,2.886
0.54938,1.6082
0.57758,1.2005
0.71494,0.401
0.75855,1.4412
0.75886,0.416
0.76012,2.994
0.76053,0.5995
0.77436,1.4949
0.78339,0.5572
0.81082,8.64
0.81696,0.27826
0.84496,0.4475
0.86445,0.24041
0.88185,0.4814
0.90064,4.01
0.93064,2.4936
0.95202,0.8031
0.96943,1.5505
0.98057,0.14412
0.98215,0.2994
0.98222,0.22346
1.00695,0.13895
