x,Curve1
0.14344,271.906
0.16321,264.8
0.22446,255.017
0.28613,247.687
0.32008,241.816
0.34614,230.543
0.35917,224.906
0.4122,207.759
0.41373,216.837
0.42499,200.65
0.473,195.276
0.49286,188.662
0.67255,176.728
0.73811,151
0.86128,135.359
0.93589,121.902
1.05839,102.335
1.2736,93.854
1.41843,82.394
1.47117,63.529
1.6056,73.408
1.66632,60.435
1.82521,49.473
1.95849,52.482
2.05349,35.6
2.28494,40.621
2.34619,30.837
2.36753,33.056
2.57637,28.251
2.72173,19.981
2.8347,26.906
3.02212,19.393
3.14019,15.034
3.22376,13.358
3.32226,17.332
3.39166,14.422
3.62233,14.78
3.82401,8.991
4.07626,13.04
4.20132,8.686
4.44567,7.334
4.52234,6.144
4.76037,8.715
4.99737,5.151
5.26981,4.548
5.43042,3.891
5.766,4.792
6.9607,3.17
7.18438,3.525
7.95975,1.698
8.79133,1.615
9.27355,1.852
