x,Curve1
9.999e-10,-0.00103
1.6805e-08,0.00061
2.3551e-08,0.00056
6.1463e-08,0.00868
6.2246e-08,-0.00062
8.845e-08,0.00346
9.467e-08,0.00758
9.863e-08,0.01377
1.362e-07,-0.00073
2.1061e-07,0.04257
2.1185e-07,0.10763
2.1596e-07,0.02088
2.1849e-07,0.00023
2.6052e-07,0.00536
2.9183e-07,0.06628
3.3068e-07,0.40498
3.8321e-07,0.24283
3.9787e-07,0.06003
4.5503e-07,0.20149
5.1632e-07,0.70543
5.28e-07,0.50405
5.7981e-07,0.34397
6.4841e-07,0.23655
7.4059e-07,0.5133
1.4e-06,0.8385
2.0348e-06,0.79301
4.1353e-06,0.87242
4.2065e-06,0.76192
4.2261e-06,0.81355
4.3759e-06,0.75055
4.7814e-06,0.83522
6.0451e-06,0.89095
6.5533e-06,0.88784
6.9531e-06,0.94567
5.9563e-05,0.9598
6.0109e-05,0.91126
6.0249e-05,0.93708
