x,Curve1
1.0166e-10,0.00318
9.1e-08,-0.00398
9.23e-08,0.0119
2.0791e-07,0.02786
2.2644e-07,0.08078
2.54e-07,-0.00122
4.31e-07,0.02001
5.082e-07,0.55177
9.485e-07,0.24761
9.734e-07,0.56772
1.0981e-06,0.05451
1.8923e-06,0.76621
2.0551e-06,0.28474
4.254e-06,0.75837
5.918e-06,0.82983
9.367e-06,0.99391
9.62e-06,0.82195
1.0843e-05,0.79816
1.144e-05,0.95954
4.519e-05,0.90414
5.067e-05,0.81421
5.575e-05,0.99411
9.448e-05,0.99946
9.709e-05,0.83545
0.00010857,0.71377
0.00021182,0.95723
0.00022769,0.84877
0.00023054,1.00221
0.0004756,0.93351
0.000491,0.8277
0.0004916,0.84092
0.0005622,0.99702
