x,Curve1
1.0768e-07,127.74
2.2817e-07,922.31
3.2529e-07,71.233
3.3675e-07,94.115
3.6162e-07,198.41
3.6289e-07,12.919
4.454e-07,239.61
4.6169e-07,16.615
5.424e-07,4.4744
6.689e-07,28.231
7.58e-07,5.0288
8.786e-07,1.7107
1.1446e-06,4.68
2.4199e-06,1.2603
6.701e-06,1.5637
6.777e-06,1.00676
7.012e-06,1.2491
1.2173e-05,0.83363
8.757e-05,1.2379
8.859e-05,0.81879
0.00029753,1.2832
0.00031069,0.84116
0.00036934,0.70914
0.00039631,1.3913
0.00040513,2.5175
0.00056643,0.63665
0.0008051,0.78988
0.0008206,1.0818
0.0009263,2.8295
0.0016955,0.67798
0.0019229,13.035
0.0021926,0.91201
0.0022928,0.6841
0.003012,0.90385
0.0046885,0.73509
0.0051735,0.99776
0.0054044,3.1516
0.007939,0.94539
0.008516,1.8054
0.009594,0.84116
0.010405,0.99776
0.012012,1.07212
0.015004,1.0818
0.021274,1.06253
0.02711,1.592
0.02749,1.3183
0.028939,1.8884
0.046091,3.0404
0.047711,3.9811
0.06694,6.5258
0.06849,2.7791
0.07953,5.2128
0.08048,3.5422
0.09315,4.8513
0.15225,4.4343
0.18278,9.6904
