x,Curve1
3.4768e-08,0.89301
3.8199e-08,0.82357
9.712e-08,1.2896
1.0095e-07,1.8474
1.0154e-07,1.0872
1.031e-07,1.0488
1.7837e-07,1.4487
2.0494e-07,1.1365
2.2421e-07,0.83722
3.0633e-07,1.3597
3.1936e-07,2.2692
3.2829e-07,1.8126
3.6032e-07,1.5839
4.0626e-07,1.06655
4.5601e-07,1.3113
5.0991e-07,3.0513
6.426e-07,2.0178
7.366e-07,1.4084
8.267e-07,3.9579
9.025e-07,2.6177
1.064e-06,1.486
2.1628e-06,5.225
6.2479e-06,3.5792
6.372e-06,4.3614
6.543e-06,7.5451
9.569e-06,6.651
1.0614e-05,10.1453
8.327e-05,12.23
8.537e-05,8.4612
9.477e-05,5.8008
0.00028987,15.022
0.00029697,10.0255
0.00033281,26.22
0.00037108,22.706
0.00039728,28.68
0.00049375,9.1599
0.0007982,10.1986
0.000845,38.21
0.001826,4.1123
0.0019855,27.137
0.0020321,7.4405
0.0022288,6.2722
0.0032016,4.9639
0.0046761,4.0722
0.0046866,1.9844
0.0049381,2.5065
0.0058362,3.7551
0.008375,2.8158
0.008475,2.2696
0.009297,1.9305
0.00972,1.6274
0.0126,2.0553
0.014246,1.5979
0.018619,1.3468
0.028492,1.03747
0.045036,0.82099
0.046384,0.72392
0.07013,0.68568
0.09341,0.6733
0.1557,0.70393
0.20389,0.65495
