condition,model,x,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,492.17,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,983.87,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2297.31,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4903.20,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,5.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6510.24,6.06
