condition,model,x,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.26,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.25,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.27,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.32,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.42,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.51,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.36,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.74,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.43,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.37,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.68,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.82,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.46,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,8.12,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.49,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.81,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.63,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.96,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.65,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.64,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.17,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.14,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.61,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,18.73,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,18.96,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,18.46,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.64,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.34,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.34,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.49,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,40.35,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,42.13,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.78,5.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,40.42,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.19,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,40.81,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,40.99,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,40.37,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.02,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,40.95,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.30,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,53.66,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,55.66,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,55.42,5.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,55.05,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.79,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,55.17,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.91,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,55.24,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.59,5.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.39,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.42,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.48,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.27,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.51,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.20,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.31,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.49,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.36,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.35,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,7.98,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,8.06,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,7.79,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,7.97,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,8.04,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,8.07,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,7.97,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,8.30,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,8.09,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,8.01,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,21.19,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,20.87,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,20.76,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,21.01,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,21.77,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,21.52,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,20.59,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,21.47,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,20.86,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,21.08,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,42.36,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,41.37,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,41.53,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,40.68,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,41.34,5.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,41.33,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,40.81,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,40.53,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,41.27,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,40.74,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,68.73,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,69.60,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,70.97,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,68.84,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,69.38,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,68.44,4.55
