condition,model,x,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.492,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.984,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.297,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.903,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,5.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.510,5.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.475,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0.989,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2.525,3.03
