condition,model,x,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,3.391,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,7.727,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,2.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,19.188,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,5.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,41.001,3.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,5.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,4.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,1.2,54.879,5.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_AP,2.4,3.377,1.01
