condition,model,x,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,5.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,5.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,1.51
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,3.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,4.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,4.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,0.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0350,1.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0700,2.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,1050,2.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,1050,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,1050,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,1050,3.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,1050,3.03
