condition,model,stim,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,2.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,4.08
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,4.08
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,4.08
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,5.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,5.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,5.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,5.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.12
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.12
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.63
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.63
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,6.63
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,1.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,2.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,4.08
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,3.06
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.08
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,5.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,3.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,6.12
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,4.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,5.61
