condition,model,x,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,46.02
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,54.11
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,49.32
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,52.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,50.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,56.97
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,40.79
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,53.24
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,67.47
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0175,58.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,48.82
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,58.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,58.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,45.72
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,57.55
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,64.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,63.20
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,50.28
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,62.76
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0350,45.93
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,53.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,55.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,49.20
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,51.42
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,57.71
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,54.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,52.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,52.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,56.90
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0700,54.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,60.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,62.67
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,59.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,59.80
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,62.52
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,60.80
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,61.63
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,61.61
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,60.57
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1050,60.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,71.05
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,66.33
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,62.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,65.07
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,67.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,68.81
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,68.83
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,66.74
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,62.71
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2000,64.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,55.43
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,54.56
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,61.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,63.00
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,42.78
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,65.31
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,54.19
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,73.46
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,47.11
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0175,69.86
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,51.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,58.07
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,52.94
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,52.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,62.72
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,48.17
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,56.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,65.04
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,50.76
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0350,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,56.70
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,57.21
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,56.18
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,63.94
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,63.16
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,58.59
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,58.45
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,60.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,58.92
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,0700,57.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,69.38
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,67.58
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,66.30
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,61.75
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,70.98
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,65.25
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,69.81
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,67.71
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,67.20
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,1050,68.39
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,87.20
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,74.54
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,73.10
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,74.21
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,82.50
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,77.85
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,80.89
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,81.19
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,80.12
Ca_wave_RyR2CaM_simple_SERCA_SOCE,2.4,2000,78.15
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,46.92
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,55.03
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,53.76
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,46.77
Ca_wave_RyR2CaM_simple_SERCA_SOCE,6.0,0175,58.11
