condition,model,stim,y
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.498,46.022
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.441,54.108
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.496,49.318
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.505,52.614
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.487,50.419
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.500,56.972
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.498,40.790
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.464,53.239
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.507,67.471
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.526,58.274
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1.019,48.819
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1.001,58.934
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,1.015,58.031
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.994,45.716
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.971,57.554
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.943,64.008
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.976,63.200
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.980,50.280
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.987,62.757
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,0.953,45.928
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.230,53.864
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.272,55.585
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.279,49.196
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.378,51.417
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.318,57.707
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.290,54.696
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.302,52.038
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.306,52.505
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.332,56.897
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,2.267,54.378
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.876,60.096
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.806,62.668
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.816,59.591
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.700,59.802
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.871,62.520
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.977,60.802
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.986,61.629
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,5.046,61.608
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,4.862,60.566
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,5.092,60.845
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.497,71.047
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.591,66.325
Ca_wave_RyR2CaM_simple_SERCA_SOCE,1.2,6.405,62.890
